id;nombre_grupo;instagram;facebook;twiter;linked_in;tipo_grupo;tipo_consumo;valor_suscripcion;impuesto;reglas_grupo;audio;audio_content_type;video;video_content_type;foto_1;foto_1_content_type;foto_2;foto_2_content_type;banner;banner_content_type
1;next-generation payment Rustic Steel Cheese;transmit invoice program;Rial Omani Ergonomic target;Gorgeous infomediaries utilize;forecast;PATROCINADO;GRATIS;86894;IVA19;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
2;Cambridgeshire;Reactive Cape Steel;whiteboard composite Synergistic;engineer;Marketing;PATROCINADO;GRATIS;64047;IVA0;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
3;grey systems;Concrete SMS Cambridgeshire;Passage generating;Generic Metal Hat Multi-lateral;Stand-alone projection intermediate;PATROCINADO;PAGO;88199;ICO;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
4;Gorgeous Soft Shirt artificial intelligence Electronics;auxiliary port;circuit Awesome Fresh Shoes;end-to-end;bypass system engine Refined;PATROCINADO;PAGO;43381;IPOCONSUMO8;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
5;Burundi Franc Metal Sleek Rubber Shirt;invoice feed Games;Realigned;deposit Engineer hack;Seychelles Rupee Paradigm attitude-oriented;PUBLICO;GRATIS;49857;IPOCONSUMO8;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
6;orchid;navigate Movies;override architectures navigating;program reintermediate RSS;THX indigo El Salvador Colon US Dollar;EXTERNO;GRATIS;64483;ICO;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
7;Extensions Vermont Gorgeous;open-source;bypassing;Borders attitude-oriented calculating;Implemented;PUBLICO;PAGO;33024;IVA6;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
8;Trail Associate Iceland;copy Springs reciprocal;Bulgaria;RAM Alabama Licensed;cross-platform Wooden;PATROCINADO;PAGO;77314;ICO;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
9;Iowa;payment Facilitator;Armenian Dram Tonga synthesizing;virtual Falls;Gloves Senior;PUBLICO;PAGO;23915;IVA0;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
10;Licensed sticky;microchip;Fresh Auto Loan Account;leverage bifurcated Assistant;invoice orchestrate;EXTERNO;PAGO;89014;IVA19;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png
