id;razon_social;nit;direccion;telefono;correo;celular
1;Generic Frozen Hat Camp Principal;back-end;Wall;Investment Account;Legacy Slovenia;deposit Steel
2;Unbranded Savings Account;seize;Japan maximize;Response;Research;tan TCP invoice
3;New Taiwan Dollar;SCSI;Universal Egypt invoice;Wall;input Rhode Island Tuna;Gloves
4;parse user-facing;Handmade Wooden Computer Metal;Licensed Manager Borders;copying;relationships quantify generate;array Delaware
5;Refined New York PNG;Keyboard Overpass;open-source;circuit Engineer Intelligent;SAS deposit;Saint Barthelemy
6;generating Savings Account Indian Rupee;haptic Macedonia;synthesizing;Sports back up ivory;navigate Croatian Kuna hack;implementation XML Liaison
7;deploy payment;SSL Savings Account reintermediate;Clothing Chair;Savings Account;Bacon evolve;Utah Mission
8;protocol Awesome;Oklahoma;Generic Granite Chicken Auto Loan Account;3rd generation copying;deposit Car;out-of-the-box mobile program
9;connecting Japan enable;policy;Cloned architect;Auto Loan Account;parse capacitor model;systems
10;Buckinghamshire Computer;methodologies calculating scale;Intranet mint green;holistic strategic;Netherlands Antillian Guilder;generating neutral
